Profile,Noise,WMAPE 3M,WMAPE 6M,WMAPE 12M,Mean,Std,Pass Rate
Personal,Low,131.3%,246.1%,258.1%,258.1%,133.4%,0%
Personal,Moderate,133.2%,209.4%,244.0%,244.0%,154.3%,0%
Personal,High,157.1%,257.6%,264.6%,264.6%,166.9%,0%
SME,Low,106.9%,189.4%,206.6%,206.6%,96.9%,0%
SME,Moderate,70.4%,120.2%,134.6%,134.6%,65.6%,0%
SME,High,114.3%,136.8%,142.6%,142.6%,85.8%,0%
Corporate,Low,74.7%,93.4%,97.0%,97.0%,67.4%,0%
Corporate,Moderate,53.5%,65.1%,71.6%,71.6%,46.4%,0%
Corporate,High,76.6%,77.8%,82.9%,82.9%,51.1%,0%
