account_type,randomness,n_runs,wmape_3m_mean,wmape_3m_std,wmape_6m_mean,wmape_6m_std,wmape_12m_mean,wmape_12m_std,pass_rate,model_ets_pct,model_sarima_pct,model_tirex_pct
personal,none,10,10.64,1.73,7.12,0.95,6.92,0.61,90.0,0.0,0.0,100.0
personal,low,10,11.32,3.08,9.23,3.71,9.32,4.46,100.0,0.0,0.0,100.0
personal,medium,10,12.01,2.84,11.86,4.52,14.66,9.25,80.0,0.0,0.0,100.0
personal,high,10,21.85,23.43,18.58,21.61,18.48,20.76,40.0,0.0,0.0,100.0
sme,none,10,2.63,0.32,2.77,0.21,4.02,0.14,100.0,0.0,0.0,100.0
sme,low,10,2.7,0.33,2.75,0.38,3.98,0.26,100.0,0.0,0.0,100.0
sme,medium,10,4.61,1.71,4.67,2.14,6.6,3.24,100.0,0.0,0.0,100.0
sme,high,10,5.54,0.72,5.91,1.37,6.98,1.2,70.0,0.0,0.0,100.0
corporate,none,10,5.53,0.33,6.71,0.33,10.72,0.24,100.0,0.0,0.0,100.0
corporate,low,10,5.05,0.84,6.29,1.23,10.85,2.54,100.0,0.0,0.0,100.0
corporate,medium,10,6.48,1.59,8.21,2.97,13.53,5.41,100.0,0.0,0.0,100.0
corporate,high,10,7.67,2.58,9.91,4.67,16.48,10.1,90.0,0.0,0.0,100.0
